=== [Causal Discovery] Fold 1 (1/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/metadata.json
CI(0, 1 | ()) p=0.7481 -> indep=True
CI(2, 11 | ()) p=0.1115 -> indep=True
CI(3, 11 | ()) p=0.8969 -> indep=True
CI(4, 11 | ()) p=0 -> indep=False
CI(5, 11 | ()) p=0.2041 -> indep=True
CI(6, 11 | ()) p=0.03141 -> indep=True
CI(7, 11 | ()) p=2.243e-05 -> indep=False
CI(8, 11 | ()) p=0 -> indep=False
CI(9, 11 | ()) p=0.2351 -> indep=True
CI(10, 11 | ()) p=0.001887 -> indep=False
CI(0, 5 | (1,)) p=0.0006285 -> indep=False
CI(1, 5 | (0,)) p=0.000994 -> indep=False
CI(2, 7 | (6,)) p=0.004729 -> indep=False
CI(6, 7 | (2,)) p=2.763e-09 -> indep=False
CI(4, 8 | (6,)) p=0.005803 -> indep=False
CI(4, 8 | (7,)) p=0.01114 -> indep=True
CI(6, 8 | (7,)) p=0.2664 -> indep=True
CI(2, 10 | (8,)) p=0 -> indep=False
CI(2, 10 | (6,)) p=0 -> indep=False
CI(2, 10 | (7,)) p=0 -> indep=False
CI(6, 10 | (8,)) p=0.005158 -> indep=False
CI(6, 10 | (2,)) p=2.439e-09 -> indep=False
CI(6, 10 | (7,)) p=0.5725 -> indep=True
CI(7, 10 | (8,)) p=1.966e-10 -> indep=False
CI(7, 10 | (2,)) p=0 -> indep=False
CI(8, 10 | (2,)) p=2.931e-09 -> indep=False
CI(8, 10 | (7,)) p=0.2395 -> indep=True
CI(4, 11 | (8,)) p=0 -> indep=False
CI(4, 11 | (10,)) p=0 -> indep=False
CI(4, 11 | (7,)) p=0 -> indep=False
CI(7, 11 | (8,)) p=0.9254 -> indep=True
CI(8, 11 | (10,)) p=0 -> indep=False
CI(8, 11 | (4,)) p=0 -> indep=False
CI(10, 11 | (8,)) p=0.3234 -> indep=True
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/learned_graph_adj.npy
CI(0, 1 | ()) p=0.3119 -> indep=True
CI(0, 2 | ()) p=0.4082 -> indep=True
CI(1, 2 | ()) p=0.631 -> indep=True
CI(0, 3 | ()) p=0.9315 -> indep=True
CI(1, 3 | ()) p=0.2245 -> indep=True
CI(2, 3 | ()) p=0.7753 -> indep=True
CI(0, 4 | ()) p=0.5151 -> indep=True
CI(1, 4 | ()) p=0.8852 -> indep=True
CI(2, 4 | ()) p=0.8293 -> indep=True
CI(3, 4 | ()) p=0.9207 -> indep=True
CI(0, 5 | ()) p=0.0001308 -> indep=False
CI(1, 5 | ()) p=0.4853 -> indep=True
CI(2, 5 | ()) p=0.2571 -> indep=True
CI(3, 5 | ()) p=0.1549 -> indep=True
CI(4, 5 | ()) p=0.337 -> indep=True
CI(0, 6 | ()) p=0.07754 -> indep=True
CI(1, 6 | ()) p=0.04622 -> indep=True
CI(2, 6 | ()) p=0.5226 -> indep=True
CI(3, 6 | ()) p=0.2506 -> indep=True
CI(4, 6 | ()) p=0.8982 -> indep=True
CI(5, 6 | ()) p=0.002348 -> indep=False
CI(0, 7 | ()) p=0.0409 -> indep=True
CI(1, 7 | ()) p=0.07339 -> indep=True
CI(2, 7 | ()) p=0.0001102 -> indep=False
CI(3, 7 | ()) p=0.1054 -> indep=True
CI(4, 7 | ()) p=0.4895 -> indep=True
CI(5, 7 | ()) p=0.009624 -> indep=False
CI(6, 7 | ()) p=4.235e-07 -> indep=False
CI(0, 8 | ()) p=0.6036 -> indep=True
CI(1, 8 | ()) p=0.05654 -> indep=True
CI(2, 8 | ()) p=0.2773 -> indep=True
CI(3, 8 | ()) p=0.7755 -> indep=True
CI(4, 8 | ()) p=0.5714 -> indep=True
CI(5, 8 | ()) p=0.3687 -> indep=True
CI(6, 8 | ()) p=0.009883 -> indep=False
CI(7, 8 | ()) p=3.745e-06 -> indep=False
CI(0, 9 | ()) p=9.315e-07 -> indep=False
CI(1, 9 | ()) p=0.6957 -> indep=True
CI(2, 9 | ()) p=0.07966 -> indep=True
CI(3, 9 | ()) p=0.6636 -> indep=True
CI(4, 9 | ()) p=0.9569 -> indep=True
CI(5, 9 | ()) p=0.6916 -> indep=True
CI(6, 9 | ()) p=0.4097 -> indep=True
CI(7, 9 | ()) p=0.4959 -> indep=True
CI(8, 9 | ()) p=0.6126 -> indep=True
CI(0, 10 | ()) p=0.002285 -> indep=False
CI(1, 10 | ()) p=0.1206 -> indep=True
CI(2, 10 | ()) p=8.367e-06 -> indep=False
CI(3, 10 | ()) p=0.4626 -> indep=True
CI(4, 10 | ()) p=0.3217 -> indep=True
CI(5, 10 | ()) p=0.0005074 -> indep=False
CI(6, 10 | ()) p=0.01776 -> indep=True
CI(7, 10 | ()) p=4.272e-07 -> indep=False
CI(8, 10 | ()) p=0.03892 -> indep=True
CI(9, 10 | ()) p=0.01821 -> indep=True
CI(0, 11 | ()) p=0.8057 -> indep=True
CI(1, 11 | ()) p=0.5351 -> indep=True
CI(2, 11 | ()) p=0.04087 -> indep=True
CI(3, 11 | ()) p=0.04972 -> indep=True
CI(4, 11 | ()) p=4.99e-12 -> indep=False
CI(5, 11 | ()) p=0.5419 -> indep=True
CI(6, 11 | ()) p=0.1305 -> indep=True
CI(7, 11 | ()) p=0.2062 -> indep=True
CI(8, 11 | ()) p=5.743e-08 -> indep=False
CI(9, 11 | ()) p=0.4765 -> indep=True
CI(10, 11 | ()) p=0.1899 -> indep=True
CI(2, 7 | (5,)) p=0.0008705 -> indep=False
CI(2, 7 | (6,)) p=0.0001092 -> indep=False
CI(5, 7 | (2,)) p=0.008641 -> indep=False
CI(5, 7 | (6,)) p=0.05331 -> indep=True
CI(6, 7 | (2,)) p=1.614e-07 -> indep=False
CI(6, 8 | (7,)) p=0.3368 -> indep=True
CI(0, 10 | (2,)) p=0.001913 -> indep=False
CI(0, 10 | (5,)) p=0.1723 -> indep=True
CI(2, 10 | (5,)) p=9.034e-05 -> indep=False
CI(2, 10 | (7,)) p=0.0006306 -> indep=False
CI(5, 10 | (2,)) p=0.001969 -> indep=False
CI(5, 10 | (7,)) p=0.009636 -> indep=False
CI(7, 10 | (2,)) p=1.731e-06 -> indep=False
CI(7, 10 | (5,)) p=6.639e-06 -> indep=False
CI(4, 11 | (8,)) p=7.994e-15 -> indep=False
CI(8, 11 | (4,)) p=1.527e-07 -> indep=False
Saved metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/performance_metrics.json
Saved baseline metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/pag_vs_pag_metrics.json
Found 10 differences:
  1. Wrong orientation: 0 --- 5 (DAG: directed_ij, PAG: bidirected)
  2. Wrong orientation: 0 --- 9 (DAG: directed_ij, PAG: bidirected)
  3. Missing: 1 --- 6 (DAG: directed_ij)
  4. Wrong orientation: 2 --- 7 (DAG: directed_ij, PAG: bidirected)
  5. Wrong orientation: 2 --- 10 (DAG: directed_ij, PAG: bidirected)
  6. Missing: 3 --- 7 (DAG: directed_ij)
  7. Missing: 3 --- 8 (DAG: directed_ij)
  8. Missing: 5 --- 6 (DAG: directed_ij)
  9. Missing: 5 --- 9 (DAG: directed_ij)
  10. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
Found 3 partial orientation differences:
  1. Partial orientation: 1 --- 5 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 4 --- 11 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 6 --- 7 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/edge_comparison.txt
Found 12 differences:
  1. Wrong orientation: 0 --- 5 (DAG: directed_ij, PAG: bidirected)
  2. Wrong orientation: 0 --- 9 (DAG: directed_ij, PAG: bidirected)
  3. Missing: 1 --- 5 (DAG: directed_ij)
  4. Missing: 1 --- 6 (DAG: directed_ij)
  5. Missing: 3 --- 7 (DAG: directed_ij)
  6. Missing: 3 --- 8 (DAG: directed_ij)
  7. Wrong orientation: 5 --- 6 (DAG: directed_ij, PAG: bidirected)
  8. Missing: 5 --- 9 (DAG: directed_ij)
  9. Extra: 5 --- 10 (PAG: bidirected)
  10. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  11. Wrong orientation: 7 --- 10 (DAG: directed_ij, PAG: bidirected)
  12. Wrong orientation: 8 --- 11 (DAG: directed_ij, PAG: bidirected)
Found 3 partial orientation differences:
  1. Partial orientation: 2 --- 7 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 2 --- 10 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 4 --- 11 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/edge_comparison_baseline.txt
Found 5 differences:
  1. Extra: 1 --- 5 (PAG: partial_ij)
  2. Missing: 5 --- 6 (Reference PAG: bidirected)
  3. Missing: 5 --- 10 (Reference PAG: bidirected)
  4. Wrong orientation: 7 --- 10 (Reference PAG: bidirected, PAG: directed_ij)
  5. Wrong orientation: 8 --- 11 (Reference PAG: bidirected, PAG: directed_ij)
Found 3 partial orientation differences:
  1. Partial orientation: 2 --- 7 (Reference PAG: partial_ij, PAG: bidirected)
  2. Partial orientation: 2 --- 10 (Reference PAG: partial_ij, PAG: bidirected)
  3. Partial orientation: 6 --- 7 (Reference PAG: directed_ij, PAG: partial_ij)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/pag_vs_dag.png
Saved baseline figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align_observable_state/1/baseline_graph_adj.npy
