=== [Causal Discovery] Fold 4 (4/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/4/alignment_results.csv
Warning: 2 constant columns detected; added tiny noise for correlation stability.
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/4/metadata.json
CI(0, 1 | ()) p=nan -> indep=False
CI(0, 2 | ()) p=nan -> indep=False
CI(1, 2 | ()) p=nan -> indep=False
CI(0, 3 | ()) p=nan -> indep=False
CI(1, 3 | ()) p=nan -> indep=False
CI(2, 3 | ()) p=nan -> indep=False
CI(0, 4 | ()) p=nan -> indep=False
CI(1, 4 | ()) p=nan -> indep=False
CI(2, 4 | ()) p=nan -> indep=False
CI(3, 4 | ()) p=0.4889 -> indep=True
CI(0, 5 | ()) p=nan -> indep=False
CI(1, 5 | ()) p=nan -> indep=False
CI(2, 5 | ()) p=nan -> indep=False
CI(3, 5 | ()) p=nan -> indep=False
CI(4, 5 | ()) p=nan -> indep=False
CI(0, 2 | (1,)) p=nan -> indep=False
CI(1, 2 | (0,)) p=nan -> indep=False
CI(0, 3 | (1,)) p=nan -> indep=False
CI(0, 3 | (2,)) p=nan -> indep=False
CI(1, 3 | (0,)) p=nan -> indep=False
CI(1, 3 | (2,)) p=nan -> indep=False
CI(2, 3 | (0,)) p=nan -> indep=False
CI(2, 3 | (1,)) p=nan -> indep=False
CI(0, 4 | (1,)) p=nan -> indep=False
CI(0, 4 | (2,)) p=nan -> indep=False
CI(1, 4 | (0,)) p=nan -> indep=False
CI(1, 4 | (2,)) p=nan -> indep=False
CI(2, 4 | (0,)) p=nan -> indep=False
CI(2, 4 | (1,)) p=nan -> indep=False
CI(0, 5 | (1,)) p=nan -> indep=False
CI(0, 5 | (2,)) p=nan -> indep=False
CI(0, 5 | (3,)) p=nan -> indep=False
CI(0, 5 | (4,)) p=nan -> indep=False
CI(1, 5 | (0,)) p=nan -> indep=False
CI(1, 5 | (2,)) p=nan -> indep=False
CI(1, 5 | (3,)) p=nan -> indep=False
CI(1, 5 | (4,)) p=nan -> indep=False
CI(2, 5 | (0,)) p=nan -> indep=False
CI(2, 5 | (1,)) p=nan -> indep=False
CI(2, 5 | (3,)) p=nan -> indep=False
CI(2, 5 | (4,)) p=nan -> indep=False
CI(3, 5 | (0,)) p=nan -> indep=False
CI(3, 5 | (1,)) p=nan -> indep=False
CI(3, 5 | (2,)) p=nan -> indep=False
CI(3, 5 | (4,)) p=nan -> indep=False
CI(4, 5 | (0,)) p=nan -> indep=False
CI(4, 5 | (1,)) p=nan -> indep=False
CI(4, 5 | (2,)) p=nan -> indep=False
CI(4, 5 | (3,)) p=nan -> indep=False
CI(2, 3 | (0, 1)) p=nan -> indep=False
CI(2, 4 | (0, 1)) p=nan -> indep=False
CI(0, 5 | (1, 2)) p=nan -> indep=False
CI(0, 5 | (1, 3)) p=nan -> indep=False
CI(0, 5 | (1, 4)) p=nan -> indep=False
CI(0, 5 | (2, 3)) p=nan -> indep=False
CI(0, 5 | (2, 4)) p=nan -> indep=False
