=== [Causal Discovery] Fold 1 (1/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align_observable_state/1/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align_observable_state/1/metadata.json
CI(0, 1 | ()) p=0.7368 -> indep=True
CI(0, 2 | ()) p=0.574 -> indep=True
CI(1, 2 | ()) p=0.1906 -> indep=True
CI(0, 3 | ()) p=0.6752 -> indep=True
CI(1, 3 | ()) p=0.4538 -> indep=True
CI(2, 3 | ()) p=0.3248 -> indep=True
CI(0, 4 | ()) p=0.2017 -> indep=True
CI(1, 4 | ()) p=0.4581 -> indep=True
CI(2, 4 | ()) p=0.5221 -> indep=True
CI(3, 4 | ()) p=0.8395 -> indep=True
CI(0, 5 | ()) p=0.001115 -> indep=False
CI(1, 5 | ()) p=0.001098 -> indep=False
CI(2, 5 | ()) p=0.184 -> indep=True
CI(3, 5 | ()) p=0.5324 -> indep=True
CI(4, 5 | ()) p=0.1677 -> indep=True
CI(0, 6 | ()) p=0.003447 -> indep=False
CI(1, 6 | ()) p=0.02059 -> indep=True
CI(2, 6 | ()) p=0.5297 -> indep=True
CI(3, 6 | ()) p=0.3038 -> indep=True
CI(4, 6 | ()) p=0.3236 -> indep=True
CI(5, 6 | ()) p=0.005759 -> indep=False
CI(0, 7 | ()) p=0.5764 -> indep=True
CI(1, 7 | ()) p=0.4693 -> indep=True
CI(2, 7 | ()) p=0.008017 -> indep=False
CI(3, 7 | ()) p=0.0966 -> indep=True
CI(4, 7 | ()) p=0.6142 -> indep=True
CI(5, 7 | ()) p=0.3629 -> indep=True
CI(6, 7 | ()) p=1.279e-05 -> indep=False
CI(0, 8 | ()) p=0.3242 -> indep=True
CI(1, 8 | ()) p=0.4045 -> indep=True
CI(2, 8 | ()) p=0.2967 -> indep=True
CI(3, 8 | ()) p=0.8912 -> indep=True
CI(4, 8 | ()) p=0.01613 -> indep=True
CI(5, 8 | ()) p=0.6664 -> indep=True
CI(6, 8 | ()) p=0.0003133 -> indep=False
CI(7, 8 | ()) p=1.059e-10 -> indep=False
CI(0, 9 | ()) p=0 -> indep=False
CI(1, 9 | ()) p=0.4532 -> indep=True
CI(2, 9 | ()) p=0.5979 -> indep=True
CI(3, 9 | ()) p=0.5148 -> indep=True
CI(4, 9 | ()) p=0.03579 -> indep=True
CI(5, 9 | ()) p=0.5824 -> indep=True
CI(6, 9 | ()) p=0.1778 -> indep=True
CI(7, 9 | ()) p=0.08338 -> indep=True
CI(8, 9 | ()) p=0.7107 -> indep=True
CI(0, 10 | ()) p=0.2584 -> indep=True
CI(1, 10 | ()) p=0.8113 -> indep=True
CI(2, 10 | ()) p=0 -> indep=False
CI(3, 10 | ()) p=0.7152 -> indep=True
CI(4, 10 | ()) p=0.2637 -> indep=True
CI(5, 10 | ()) p=0.2371 -> indep=True
CI(6, 10 | ()) p=0.0003491 -> indep=False
CI(7, 10 | ()) p=0 -> indep=False
CI(8, 10 | ()) p=1.032e-07 -> indep=False
CI(9, 10 | ()) p=0.07698 -> indep=True
CI(0, 11 | ()) p=0.09091 -> indep=True
CI(1, 11 | ()) p=0.4124 -> indep=True
CI(2, 11 | ()) p=0.1649 -> indep=True
CI(3, 11 | ()) p=0.948 -> indep=True
CI(4, 11 | ()) p=0 -> indep=False
CI(5, 11 | ()) p=0.152 -> indep=True
CI(6, 11 | ()) p=0.004207 -> indep=False
CI(7, 11 | ()) p=3.77e-08 -> indep=False
CI(8, 11 | ()) p=0 -> indep=False
CI(9, 11 | ()) p=0.0957 -> indep=True
CI(10, 11 | ()) p=2.256e-06 -> indep=False
CI(0, 5 | (1,)) p=0.001349 -> indep=False
CI(1, 5 | (0,)) p=0.0001681 -> indep=False
CI(0, 6 | (5,)) p=0.03075 -> indep=True
CI(2, 7 | (6,)) p=0.007621 -> indep=False
CI(6, 7 | (2,)) p=1.05e-07 -> indep=False
CI(6, 8 | (7,)) p=0.2188 -> indep=True
CI(2, 10 | (8,)) p=0 -> indep=False
CI(2, 10 | (6,)) p=0 -> indep=False
CI(2, 10 | (7,)) p=0 -> indep=False
CI(6, 10 | (8,)) p=0.008641 -> indep=False
CI(6, 10 | (2,)) p=1.324e-10 -> indep=False
CI(6, 10 | (7,)) p=0.3722 -> indep=True
CI(7, 10 | (8,)) p=3.381e-11 -> indep=False
CI(7, 10 | (2,)) p=0 -> indep=False
CI(8, 10 | (2,)) p=1.373e-11 -> indep=False
CI(8, 10 | (7,)) p=0.3058 -> indep=True
CI(4, 11 | (8,)) p=0 -> indep=False
CI(4, 11 | (10,)) p=0 -> indep=False
CI(4, 11 | (6,)) p=0 -> indep=False
CI(4, 11 | (7,)) p=0 -> indep=False
CI(6, 11 | (8,)) p=0.3032 -> indep=True
CI(7, 11 | (8,)) p=0.5147 -> indep=True
CI(8, 11 | (10,)) p=1.11e-16 -> indep=False
CI(8, 11 | (4,)) p=0 -> indep=False
CI(10, 11 | (8,)) p=0.118 -> indep=True
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align_observable_state/1/learned_graph_adj.npy
CI(0, 1 | ()) p=0.3119 -> indep=True
CI(0, 2 | ()) p=0.4082 -> indep=True
CI(1, 2 | ()) p=0.631 -> indep=True
CI(0, 3 | ()) p=0.9315 -> indep=True
CI(1, 3 | ()) p=0.2245 -> indep=True
CI(2, 3 | ()) p=0.7753 -> indep=True
CI(0, 4 | ()) p=0.5151 -> indep=True
CI(1, 4 | ()) p=0.8852 -> indep=True
CI(2, 4 | ()) p=0.8293 -> indep=True
CI(3, 4 | ()) p=0.9207 -> indep=True
CI(0, 5 | ()) p=0.0001308 -> indep=False
CI(1, 5 | ()) p=0.4853 -> indep=True
CI(2, 5 | ()) p=0.2571 -> indep=True
CI(3, 5 | ()) p=0.1549 -> indep=True
CI(4, 5 | ()) p=0.337 -> indep=True
CI(0, 6 | ()) p=0.07754 -> indep=True
CI(1, 6 | ()) p=0.04622 -> indep=True
CI(2, 6 | ()) p=0.5226 -> indep=True
CI(3, 6 | ()) p=0.2506 -> indep=True
CI(4, 6 | ()) p=0.8982 -> indep=True
CI(5, 6 | ()) p=0.002348 -> indep=False
CI(0, 7 | ()) p=0.0409 -> indep=True
CI(1, 7 | ()) p=0.07339 -> indep=True
CI(2, 7 | ()) p=0.0001102 -> indep=False
CI(3, 7 | ()) p=0.1054 -> indep=True
CI(4, 7 | ()) p=0.4895 -> indep=True
CI(5, 7 | ()) p=0.009624 -> indep=False
CI(6, 7 | ()) p=4.235e-07 -> indep=False
CI(0, 8 | ()) p=0.6036 -> indep=True
CI(1, 8 | ()) p=0.05654 -> indep=True
CI(2, 8 | ()) p=0.2773 -> indep=True
CI(3, 8 | ()) p=0.7755 -> indep=True
CI(4, 8 | ()) p=0.5714 -> indep=True
CI(5, 8 | ()) p=0.3687 -> indep=True
CI(6, 8 | ()) p=0.009883 -> indep=False
CI(7, 8 | ()) p=3.745e-06 -> indep=False
CI(0, 9 | ()) p=9.315e-07 -> indep=False
CI(1, 9 | ()) p=0.6957 -> indep=True
CI(2, 9 | ()) p=0.07966 -> indep=True
CI(3, 9 | ()) p=0.6636 -> indep=True
CI(4, 9 | ()) p=0.9569 -> indep=True
CI(5, 9 | ()) p=0.6916 -> indep=True
CI(6, 9 | ()) p=0.4097 -> indep=True
CI(7, 9 | ()) p=0.4959 -> indep=True
CI(8, 9 | ()) p=0.6126 -> indep=True
CI(0, 10 | ()) p=0.002285 -> indep=False
CI(1, 10 | ()) p=0.1206 -> indep=True
CI(2, 10 | ()) p=8.367e-06 -> indep=False
CI(3, 10 | ()) p=0.4626 -> indep=True
CI(4, 10 | ()) p=0.3217 -> indep=True
CI(5, 10 | ()) p=0.0005074 -> indep=False
CI(6, 10 | ()) p=0.01776 -> indep=True
CI(7, 10 | ()) p=4.272e-07 -> indep=False
CI(8, 10 | ()) p=0.03892 -> indep=True
CI(9, 10 | ()) p=0.01821 -> indep=True
CI(0, 11 | ()) p=0.8057 -> indep=True
CI(1, 11 | ()) p=0.5351 -> indep=True
CI(2, 11 | ()) p=0.04087 -> indep=True
CI(3, 11 | ()) p=0.04972 -> indep=True
CI(4, 11 | ()) p=4.99e-12 -> indep=False
CI(5, 11 | ()) p=0.5419 -> indep=True
CI(6, 11 | ()) p=0.1305 -> indep=True
CI(7, 11 | ()) p=0.2062 -> indep=True
CI(8, 11 | ()) p=5.743e-08 -> indep=False
CI(9, 11 | ()) p=0.4765 -> indep=True
CI(10, 11 | ()) p=0.1899 -> indep=True
CI(2, 7 | (5,)) p=0.0008705 -> indep=False
CI(2, 7 | (6,)) p=0.0001092 -> indep=False
CI(5, 7 | (2,)) p=0.008641 -> indep=False
CI(5, 7 | (6,)) p=0.05331 -> indep=True
CI(6, 7 | (2,)) p=1.614e-07 -> indep=False
CI(6, 8 | (7,)) p=0.3368 -> indep=True
CI(0, 10 | (2,)) p=0.001913 -> indep=False
CI(0, 10 | (5,)) p=0.1723 -> indep=True
CI(2, 10 | (5,)) p=9.034e-05 -> indep=False
CI(2, 10 | (7,)) p=0.0006306 -> indep=False
CI(5, 10 | (2,)) p=0.001969 -> indep=False
CI(5, 10 | (7,)) p=0.009636 -> indep=False
CI(7, 10 | (2,)) p=1.731e-06 -> indep=False
CI(7, 10 | (5,)) p=6.639e-06 -> indep=False
