fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
1,X0,X1,input,False,False,0.07708970878473576,0.02973278632857751,0.0,0.0,-0.07708970878473576,0.0315,0.274233348575873,True,False,False,False,False,True,True,outputs,,,,,,,,,
1,X0,X2,input,False,False,-0.001635400114452512,-0.0037926838304862607,0.0,0.0,0.001635400114452512,0.02,0.8187536311788122,False,False,False,False,False,True,True,outputs,,,,,,,,,
1,X0,X3,output,True,True,0.4369232764234812,1.3864855884719416,0.42623114647221094,1.3525563270033056,-0.01069212995127028,1.0,0.0,True,True,True,True,True,True,True,outputs,0.4410907030105591,1.3997100542209304,0.00416742658707786,1.0,0.0,True,True,True,True
1,X0,X4,output,False,True,0.4369897777721516,1.325592903234092,0.4245929583503649,1.2879875937186753,-0.012396819421786665,0.844,0.0,True,True,True,False,False,True,False,outputs,0.4398323595523834,1.334215773668152,0.0028425817802318343,1.0,0.0,True,True,True,True
1,X0,X5,output,False,True,0.5496784346758186,1.2590166519968484,0.5314951877230587,1.217368646077902,-0.018183246952759857,0.8435,0.0,True,True,True,False,False,True,False,outputs,0.5533463954925537,1.2674179707603634,0.0036679608167351496,1.0,0.0,True,True,True,True
1,X1,X0,input,False,False,-0.04513381651968819,-0.04489509317029553,0.0,0.0,0.04513381651968819,0.037,0.1293721790169698,False,False,False,False,False,True,True,outputs,,,,,,,,,
1,X1,X2,input,False,False,0.014803519685921085,0.034331090753209226,0.0,0.0,-0.014803519685921085,0.0285,0.3910873897562125,False,False,False,False,False,True,True,outputs,,,,,,,,,
1,X1,X3,output,True,True,-0.010643678907080855,-0.03377551210773009,-0.007227645211999504,-0.02293543618699961,0.0034160336950813507,0.248,2.1457253716927523e-54,False,True,False,False,False,False,True,outputs,-0.0014480036916211247,-0.004594940024529589,0.00919567521545973,0.2735,3.237665997158661e-66,False,True,False,True
1,X1,X4,output,False,True,-0.01125554164607669,-0.034143284092733456,-0.003824822572736853,-0.011602462841117388,0.0074307190733398365,0.2155,4.52588482078107e-41,False,True,False,False,False,True,True,outputs,-0.001689655939117074,-0.005125511020463202,0.009565885706959616,0.2695,2.78496894031553e-64,False,True,False,True
1,X1,X5,output,False,True,-0.014694745904392584,-0.03365773263672599,-0.006566693207829503,-0.015040750329031695,0.008128052696563082,0.199,4.809620564009805e-35,False,True,False,False,False,True,True,outputs,-0.009300412610173225,-0.02130222618894509,0.005394333294219358,0.229,2.271672772610328e-46,False,True,False,True
