=== [Causal Discovery] Fold 2 (2/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/metadata.json
CI(0, 1 | ()) p=0.01738 -> indep=True
CI(3, 11 | ()) p=0.529 -> indep=True
CI(4, 11 | ()) p=0.4339 -> indep=True
CI(5, 11 | ()) p=0.2089 -> indep=True
CI(6, 11 | ()) p=0 -> indep=False
CI(7, 11 | ()) p=0.003045 -> indep=False
CI(8, 11 | ()) p=0.772 -> indep=True
CI(9, 11 | ()) p=0.4119 -> indep=True
CI(10, 11 | ()) p=0.2807 -> indep=True
CI(0, 12 | ()) p=0.822 -> indep=True
CI(1, 12 | ()) p=0.4933 -> indep=True
CI(2, 12 | ()) p=0.4315 -> indep=True
CI(3, 12 | ()) p=0 -> indep=False
CI(4, 12 | ()) p=0.5144 -> indep=True
CI(5, 12 | ()) p=0.4298 -> indep=True
CI(6, 12 | ()) p=0.06213 -> indep=True
CI(7, 12 | ()) p=0.008032 -> indep=False
CI(8, 12 | ()) p=0 -> indep=False
CI(9, 12 | ()) p=0.2725 -> indep=True
CI(10, 12 | ()) p=0.4943 -> indep=True
CI(11, 12 | ()) p=0.6312 -> indep=True
CI(0, 13 | ()) p=0.8452 -> indep=True
CI(1, 13 | ()) p=0.02669 -> indep=True
CI(2, 13 | ()) p=0.008821 -> indep=False
CI(3, 13 | ()) p=0.3046 -> indep=True
CI(4, 13 | ()) p=0.005588 -> indep=False
CI(5, 13 | ()) p=0 -> indep=False
CI(6, 13 | ()) p=0.3566 -> indep=True
CI(7, 13 | ()) p=0.339 -> indep=True
CI(8, 13 | ()) p=0.3196 -> indep=True
CI(9, 13 | ()) p=6.734e-05 -> indep=False
CI(10, 13 | ()) p=4.339e-07 -> indep=False
CI(11, 13 | ()) p=0.4909 -> indep=True
CI(12, 13 | ()) p=0.7381 -> indep=True
CI(0, 4 | (2,)) p=0.02533 -> indep=True
CI(0, 6 | (1,)) p=2.22e-16 -> indep=False
CI(1, 6 | (0,)) p=2.491e-05 -> indep=False
CI(1, 7 | (6,)) p=0.0005815 -> indep=False
CI(6, 7 | (1,)) p=1.106e-05 -> indep=False
CI(3, 8 | (7,)) p=0.001092 -> indep=False
CI(7, 8 | (3,)) p=2.653e-05 -> indep=False
CI(3, 9 | (8,)) p=3.359e-09 -> indep=False
CI(3, 9 | (5,)) p=0.0001371 -> indep=False
CI(3, 9 | (7,)) p=7.401e-06 -> indep=False
CI(5, 9 | (8,)) p=0.008309 -> indep=False
CI(5, 9 | (3,)) p=0.002193 -> indep=False
CI(5, 9 | (7,)) p=3.696e-05 -> indep=False
CI(7, 9 | (8,)) p=0.001659 -> indep=False
CI(7, 9 | (3,)) p=0.0002133 -> indep=False
CI(7, 9 | (5,)) p=4.894e-06 -> indep=False
CI(8, 9 | (3,)) p=8.169e-12 -> indep=False
CI(8, 9 | (5,)) p=3.425e-09 -> indep=False
CI(8, 9 | (7,)) p=9.156e-06 -> indep=False
CI(4, 10 | (9,)) p=0.0001556 -> indep=False
CI(9, 10 | (4,)) p=1.147e-09 -> indep=False
CI(0, 11 | (2,)) p=0 -> indep=False
CI(0, 11 | (6,)) p=1.11e-16 -> indep=False
CI(0, 11 | (7,)) p=0 -> indep=False
CI(2, 11 | (0,)) p=0.003883 -> indep=False
CI(2, 11 | (6,)) p=0.1223 -> indep=True
CI(6, 11 | (0,)) p=0 -> indep=False
CI(6, 11 | (7,)) p=0 -> indep=False
CI(7, 11 | (0,)) p=0.000327 -> indep=False
CI(7, 11 | (6,)) p=0.3455 -> indep=True
CI(3, 12 | (8,)) p=0 -> indep=False
CI(3, 12 | (7,)) p=0 -> indep=False
CI(7, 12 | (8,)) p=0.3391 -> indep=True
CI(8, 12 | (3,)) p=0 -> indep=False
CI(2, 13 | (9,)) p=0.06648 -> indep=True
CI(4, 13 | (9,)) p=0.009759 -> indep=False
CI(4, 13 | (10,)) p=0.4035 -> indep=True
CI(5, 13 | (9,)) p=0 -> indep=False
CI(5, 13 | (10,)) p=0 -> indep=False
CI(9, 13 | (10,)) p=0.005865 -> indep=False
CI(9, 13 | (5,)) p=9.397e-06 -> indep=False
CI(10, 13 | (9,)) p=0.0001007 -> indep=False
CI(10, 13 | (5,)) p=0 -> indep=False
CI(8, 9 | (3, 5)) p=3.143e-10 -> indep=False
CI(9, 13 | (10, 5)) p=0.054 -> indep=True
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/learned_graph_adj.npy
CI(0, 1 | ()) p=0.09947 -> indep=True
CI(0, 2 | ()) p=0.7354 -> indep=True
CI(1, 2 | ()) p=0.484 -> indep=True
CI(0, 3 | ()) p=0.4506 -> indep=True
CI(1, 3 | ()) p=0.1226 -> indep=True
CI(2, 3 | ()) p=0.5725 -> indep=True
CI(0, 4 | ()) p=0.6207 -> indep=True
CI(1, 4 | ()) p=0.4841 -> indep=True
CI(2, 4 | ()) p=0.1203 -> indep=True
CI(3, 4 | ()) p=0.9743 -> indep=True
CI(0, 5 | ()) p=0.4134 -> indep=True
CI(1, 5 | ()) p=0.52 -> indep=True
CI(2, 5 | ()) p=0.146 -> indep=True
CI(3, 5 | ()) p=0.09021 -> indep=True
CI(4, 5 | ()) p=0.521 -> indep=True
CI(0, 6 | ()) p=1.5e-09 -> indep=False
CI(1, 6 | ()) p=0.004648 -> indep=False
CI(2, 6 | ()) p=0.8586 -> indep=True
CI(3, 6 | ()) p=0.1884 -> indep=True
CI(4, 6 | ()) p=0.858 -> indep=True
CI(5, 6 | ()) p=0.5073 -> indep=True
CI(0, 7 | ()) p=0.007718 -> indep=False
CI(1, 7 | ()) p=7.641e-05 -> indep=False
CI(2, 7 | ()) p=0.6708 -> indep=True
CI(3, 7 | ()) p=0.2414 -> indep=True
CI(4, 7 | ()) p=0.7553 -> indep=True
CI(5, 7 | ()) p=0.36 -> indep=True
CI(6, 7 | ()) p=1.316e-05 -> indep=False
CI(0, 8 | ()) p=0.005247 -> indep=False
CI(1, 8 | ()) p=0.001178 -> indep=False
CI(2, 8 | ()) p=0.524 -> indep=True
CI(3, 8 | ()) p=0.01098 -> indep=True
CI(4, 8 | ()) p=0.915 -> indep=True
CI(5, 8 | ()) p=0.5412 -> indep=True
CI(6, 8 | ()) p=0.000227 -> indep=False
CI(7, 8 | ()) p=3.53e-10 -> indep=False
CI(0, 9 | ()) p=0.7845 -> indep=True
CI(1, 9 | ()) p=0.9518 -> indep=True
CI(2, 9 | ()) p=0.6756 -> indep=True
CI(3, 9 | ()) p=0.0001147 -> indep=False
CI(4, 9 | ()) p=0.8998 -> indep=True
CI(5, 9 | ()) p=0.8169 -> indep=True
CI(6, 9 | ()) p=0.4502 -> indep=True
CI(7, 9 | ()) p=0.2648 -> indep=True
CI(8, 9 | ()) p=0.09115 -> indep=True
CI(0, 10 | ()) p=0.5201 -> indep=True
CI(1, 10 | ()) p=0.3795 -> indep=True
CI(2, 10 | ()) p=0.1887 -> indep=True
CI(3, 10 | ()) p=0.2542 -> indep=True
CI(4, 10 | ()) p=0.4777 -> indep=True
CI(5, 10 | ()) p=0.008833 -> indep=False
CI(6, 10 | ()) p=0.8555 -> indep=True
CI(7, 10 | ()) p=0.8246 -> indep=True
CI(8, 10 | ()) p=0.6122 -> indep=True
CI(9, 10 | ()) p=0.004696 -> indep=False
CI(0, 11 | ()) p=0.0003764 -> indep=False
CI(1, 11 | ()) p=0.4542 -> indep=True
CI(2, 11 | ()) p=0.878 -> indep=True
CI(3, 11 | ()) p=0.8195 -> indep=True
CI(4, 11 | ()) p=0.396 -> indep=True
CI(5, 11 | ()) p=0.2328 -> indep=True
CI(6, 11 | ()) p=0.0007871 -> indep=False
CI(7, 11 | ()) p=0.5483 -> indep=True
CI(8, 11 | ()) p=0.7304 -> indep=True
CI(9, 11 | ()) p=0.8095 -> indep=True
CI(10, 11 | ()) p=0.5921 -> indep=True
CI(0, 12 | ()) p=0.01317 -> indep=True
CI(1, 12 | ()) p=0.007536 -> indep=False
CI(2, 12 | ()) p=0.6889 -> indep=True
CI(3, 12 | ()) p=1.717e-06 -> indep=False
CI(4, 12 | ()) p=0.6636 -> indep=True
CI(5, 12 | ()) p=0.4582 -> indep=True
CI(6, 12 | ()) p=0.2876 -> indep=True
CI(7, 12 | ()) p=0.001336 -> indep=False
CI(8, 12 | ()) p=3.167e-12 -> indep=False
CI(9, 12 | ()) p=0.8283 -> indep=True
CI(10, 12 | ()) p=0.8273 -> indep=True
CI(11, 12 | ()) p=0.01191 -> indep=True
CI(0, 13 | ()) p=0.5878 -> indep=True
CI(1, 13 | ()) p=0.6043 -> indep=True
CI(2, 13 | ()) p=0.6388 -> indep=True
CI(3, 13 | ()) p=0.4721 -> indep=True
CI(4, 13 | ()) p=0.04715 -> indep=True
CI(5, 13 | ()) p=0.01696 -> indep=True
CI(6, 13 | ()) p=0.8548 -> indep=True
CI(7, 13 | ()) p=0.8283 -> indep=True
CI(8, 13 | ()) p=0.4762 -> indep=True
CI(9, 13 | ()) p=0.2817 -> indep=True
CI(10, 13 | ()) p=0.397 -> indep=True
CI(11, 13 | ()) p=0.3478 -> indep=True
CI(12, 13 | ()) p=0.4736 -> indep=True
CI(0, 6 | (1,)) p=4.152e-09 -> indep=False
CI(1, 6 | (0,)) p=0.007434 -> indep=False
CI(0, 7 | (1,)) p=0.003896 -> indep=False
CI(0, 7 | (6,)) p=0.5552 -> indep=True
CI(1, 7 | (6,)) p=0.006095 -> indep=False
CI(6, 7 | (1,)) p=8.063e-05 -> indep=False
CI(0, 8 | (1,)) p=0.00155 -> indep=False
CI(0, 8 | (6,)) p=0.1701 -> indep=True
CI(1, 8 | (6,)) p=0.002674 -> indep=False
CI(1, 8 | (7,)) p=0.1402 -> indep=True
CI(6, 8 | (7,)) p=0.1333 -> indep=True
CI(5, 10 | (9,)) p=7.453e-05 -> indep=False
CI(9, 10 | (5,)) p=0.0003733 -> indep=False
CI(0, 11 | (6,)) p=0.1584 -> indep=True
CI(1, 12 | (8,)) p=0.1756 -> indep=True
CI(3, 12 | (8,)) p=0.001241 -> indep=False
CI(3, 12 | (7,)) p=5.224e-05 -> indep=False
CI(7, 12 | (8,)) p=0.5996 -> indep=True
CI(8, 12 | (3,)) p=1.702e-10 -> indep=False
Saved metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/performance_metrics.json
Saved baseline metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/pag_vs_pag_metrics.json
Found 14 differences:
  1. Extra: 2 --- 4 (PAG: partial_ij)
  2. Missing: 2 --- 8 (DAG: directed_ij)
  3. Wrong orientation: 3 --- 9 (DAG: directed_ij, PAG: bidirected)
  4. Wrong orientation: 3 --- 12 (DAG: directed_ij, PAG: bidirected)
  5. Wrong orientation: 4 --- 10 (DAG: directed_ij, PAG: bidirected)
  6. Extra: 5 --- 9 (PAG: partial_ij)
  7. Missing: 5 --- 10 (DAG: directed_ij)
  8. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
  9. Wrong orientation: 6 --- 11 (DAG: directed_ij, PAG: bidirected)
  10. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  11. Extra: 7 --- 9 (PAG: bidirected)
  12. Wrong orientation: 8 --- 9 (DAG: directed_ij, PAG: bidirected)
  13. Wrong orientation: 8 --- 12 (DAG: directed_ij, PAG: bidirected)
  14. Wrong orientation: 9 --- 10 (DAG: directed_ij, PAG: bidirected)
Found 6 partial orientation differences:
  1. Partial orientation: 0 --- 6 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 0 --- 11 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 1 --- 6 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 1 --- 7 (DAG: directed_ij, PAG: partial_ij)
  5. Partial orientation: 3 --- 8 (DAG: directed_ij, PAG: partial_ij)
  6. Partial orientation: 5 --- 13 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/edge_comparison.txt
Found 12 differences:
  1. Missing: 0 --- 11 (DAG: directed_ij)
  2. Missing: 2 --- 8 (DAG: directed_ij)
  3. Missing: 3 --- 8 (DAG: directed_ij)
  4. Wrong orientation: 3 --- 9 (DAG: directed_ij, PAG: bidirected)
  5. Wrong orientation: 3 --- 12 (DAG: directed_ij, PAG: bidirected)
  6. Missing: 4 --- 10 (DAG: directed_ij)
  7. Missing: 5 --- 13 (DAG: directed_ij)
  8. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
  9. Wrong orientation: 6 --- 11 (DAG: directed_ij, PAG: bidirected)
  10. Missing: 8 --- 9 (DAG: directed_ij)
  11. Wrong orientation: 9 --- 10 (DAG: directed_ij, PAG: bidirected)
  12. Missing: 10 --- 13 (DAG: directed_ij)
Found 4 partial orientation differences:
  1. Partial orientation: 0 --- 6 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 1 --- 6 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 1 --- 7 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 5 --- 10 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/edge_comparison_baseline.txt
Found 12 differences:
  1. Extra: 0 --- 11 (PAG: partial_ij)
  2. Extra: 2 --- 4 (PAG: partial_ij)
  3. Extra: 3 --- 8 (PAG: partial_ij)
  4. Extra: 4 --- 10 (PAG: bidirected)
  5. Extra: 5 --- 9 (PAG: partial_ij)
  6. Missing: 5 --- 10 (Reference PAG: partial_ij)
  7. Extra: 5 --- 13 (PAG: partial_ij)
  8. Wrong orientation: 7 --- 8 (Reference PAG: directed_ij, PAG: bidirected)
  9. Extra: 7 --- 9 (PAG: bidirected)
  10. Extra: 8 --- 9 (PAG: bidirected)
  11. Wrong orientation: 8 --- 12 (Reference PAG: directed_ij, PAG: bidirected)
  12. Extra: 10 --- 13 (PAG: directed_ij)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/pag_vs_dag.png
Saved baseline figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/2/baseline_graph_adj.npy
